project_id	size	size_source	size_simpl	size_simpl_source
mm.domus.SC222	small	aim_size_designation	small	aim_size_designation
mm.domus.SC223	unknown	unknown	unknown_sz	unknown
mm.domus.SC224	medium	domus	medium	domus
mm.domus.SC225	tiny	domus	small	domus
mm.domus.SC226	small	domus	small	domus
mm.domus.SC227	small	domus	small	domus
mm.domus.SC228	medium	domus	medium	domus
mm.domus.SC229	very_small	domus	small	domus
mm.domus.SC230	small	domus	small	domus
mm.domus.SC231	very_small	domus	small	domus
mm.domus.SC232	very_large	domus	large	domus
mm.domus.SC233	medium	domus	medium	domus
mm.domus.SC234	medium	domus	medium	domus
mm.domus.SC235	small	domus	small	domus
mm.domus.SC236	small	domus	small	domus
mm.domus.SC237	very_small	domus	small	domus
mm.domus.SC238	small	domus	small	domus
mm.domus.SC239	small	domus	small	domus
mm.domus.SC240	small	domus	small	domus
mm.domus.SC241	very_small	domus	small	domus
mm.domus.SC242	small	domus	small	domus
mm.domus.SC243	large	domus	large	domus
mm.domus.SC244	large	domus	large	domus
mm.domus.SC245	small	domus	small	domus
mm.domus.SC246	very_small	domus	small	domus
mm.domus.SC247	small	domus	small	domus
mm.domus.SC249	very_small	domus	small	domus
mm.domus.SC250	small	domus	small	domus
mm.domus.SC251	tiny	domus	small	domus
mm.domus.SC252	medium	domus	medium	domus
mm.domus.SC253	very_small	domus	small	domus
mm.domus.SC255	large	domus	large	domus
mm.domus.SC256	very_small	domus	small	domus
mm.domus.SC257	small	domus	small	domus
mm.domus.SC258	very_large	domus	large	domus
mm.domus.SC259	small	domus	small	domus
mm.domus.SC260	small	domus	small	domus
mm.domus.SC261	small	domus	small	domus
mm.domus.SC262	unknown	unknown	unknown_sz	unknown
mm.domus.SC263	small	domus	small	domus
mm.domus.SC264	small	domus	small	domus
mm.domus.SC265	small	domus	small	domus
mm.domus.SC266	small	domus	small	domus
mm.domus.SC267	tiny	domus	small	domus
mm.domus.SC268	very_small	domus	small	domus
mm.domus.SC269	small	domus	small	domus
mm.domus.SC270	small	domus	small	domus
mm.domus.SC271	very_small	domus	small	domus
mm.domus.SC272	tiny	domus	small	domus
mm.domus.SC273	very_small	domus	small	domus
mm.domus.SC274	very_small	domus	small	domus
mm.domus.SC275	unknown	unknown	unknown_sz	unknown
mm.domus.SC276	unknown	unknown	unknown_sz	unknown
mm.domus.SC277	very_large	domus	large	domus
mm.domus.SC279	very_large	domus	large	domus
mm.domus.SC280	medium	domus	medium	domus
mm.domus.SC281	large	domus	large	domus
mm.domus.SC282	small	domus	small	domus
mm.domus.SC283	very_large	domus	large	domus
mm.domus.SC284	very_large	domus	large	domus
mm.domus.SC285	very_large	domus	large	domus
mm.domus.SC287	small	domus	small	domus
mm.domus.SC288	very_small	domus	small	domus
mm.domus.SC289	small	domus	small	domus
mm.domus.SC290	medium	domus	medium	domus
mm.domus.SC291	unknown	unknown	unknown_sz	unknown
mm.domus.SC293	unknown	unknown	unknown_sz	unknown
mm.domus.SC294	unknown	unknown	unknown_sz	unknown
mm.domus.SC295	tiny	domus	small	domus
mm.domus.SC296	very_large	domus	large	domus
mm.domus.SC297	very_small	domus	small	domus
mm.domus.SC298	very_small	domus	small	domus
mm.domus.SC299	small	domus	small	domus
mm.domus.SC300	small	aim_size_designation	small	aim_size_designation
mm.domus.SC301	very_small	domus	small	domus
mm.domus.SC302	very_small	domus	small	domus
mm.domus.SC303	very_small	domus	small	domus
mm.domus.SC305	tiny	domus	small	domus
mm.domus.SC306	very_small	domus	small	domus
mm.domus.SC307	tiny	domus	small	domus
mm.domus.SC308	large	scottish_national_audit	large	scottish_national_audit
mm.domus.SC309	unknown	unknown	unknown_sz	unknown
mm.domus.SC310	unknown	unknown	unknown_sz	unknown
mm.domus.SC311	medium	ma(fam)	medium	ma(fam)
mm.domus.SC313	very_small	scottish_national_audit	small	scottish_national_audit
mm.domus.SC314	medium	ma(fam)	medium	ma(fam)
mm.domus.SC315	small	scottish_national_audit	small	scottish_national_audit
mm.domus.SC316	very_small	scottish_national_audit	small	scottish_national_audit
mm.domus.SC317	unknown	unknown	unknown_sz	unknown
mm.domus.SC318	medium	ma(fam)	medium	ma(fam)
mm.domus.SC319	small	scottish_national_audit	small	scottish_national_audit
mm.domus.SC320	very_small	ma(fam)	small	ma(fam)
