project_id	OA2011_GSS
mm.aim82NM.002	S00117804
mm.aim82NM.003	S00091302
mm.aim82NM.004	E00097745
mm.aim82NM.005	E00159642
mm.aim82NM.006	E00102762
mm.aim82NM.007	E00142243
mm.aim82NM.009	E00112685
mm.aim82NM.010	E00066020
mm.aim82NM.011	E00163544
mm.aim82NM.012	W00000245
mm.aim82NM.013	E00019845
mm.aim82NM.014	E00103533
mm.aim82NM.015	E00077253
mm.aim82NM.016	E00072583
mm.aim82NM.017	E00078804
mm.aim82NM.018	W00010099
mm.aim82NM.019	E00102543
mm.aim82NM.020	E00004658
mm.aim82NM.021	E00072597
mm.aim82NM.022	E00012559
mm.aim82NM.023	E00148549
mm.aim82NM.024	E00071115
mm.aim82NM.025	E00072574
mm.aim82NM.026	E00099790
mm.aim82NM.027	E00131103
mm.aim82NM.028	E00114366
mm.aim82NM.029	W00001120
mm.aim82NM.030	E00045648
mm.aim82NM.031	E00075127
mm.aim82NM.032	S00126295
mm.aim82NM.033	E00168922
mm.aim82NM.034	E00139389
mm.aim82NM.035	E00056722
mm.aim82NM.036	E00092384
mm.aim82NM.037	E00090264
mm.aim82NM.038	E00095078
mm.aim82NM.039	E00085566
mm.aim82NM.040	E00045128
mm.aim82NM.041	E00075242
mm.aim82NM.042	W00002138
mm.aim82NM.043	W00000706
mm.aim82NM.044	S00109334
mm.aim82NM.045	E00116992
mm.aim82NM.046	E00153742
mm.aim82NM.047	S00103320
mm.aim82NM.048	E00157163
mm.aim82NM.049	E00137559
mm.aim82NM.050	
mm.aim82NM.051	E00113595
mm.aim82NM.052	S00125950
mm.aim82NM.053	E00102942
mm.aim82NM.054	E00170893
mm.aim82NM.055	E00112732
mm.aim82NM.056	E00099315
mm.aim82NM.057	S00119325
mm.aim82NM.058	E00140380
mm.aim82NM.059	E00119215
mm.aim82NM.060	E00095295
mm.aim82NM.061	E00135153
mm.aim82NM.062	E00099121
mm.aim82NM.064	E00169906
mm.aim82NM.065	S00109947
mm.aim82NM.066	E00094700
mm.aim82NM.068	S00109071
mm.aim82NM.071	E00126998
mm.aim82NM.072	E00070379
mm.aim82NM.073	E00127127
mm.aim82NM.074	E00125552
mm.aim82NM.075	E00072397
mm.aim82NM.076	E00028530
mm.aim82NM.077	E00072575
mm.aim82NM.078	E00149857
mm.aim82NM.079	E00167385
mm.aim82NM.080	E00095517
mm.aim82NM.081	S00095263
mm.aim82NM.082	W00003706
mm.aim82NM.083	W00000050
mm.aim82NM.084	E00095781
mm.aim82NM.085	E00174310
mm.aim82NM.087	E00107109
mm.aim82NM.088	E00146667
mm.aim82NM.090	E00055228
mm.aim82NM.091	
mm.aim82NM.092	E00097708
mm.aim82NM.094	E00103534
mm.aim82NM.095	E00083769
mm.aim82NM.096	S00121924
mm.aim82NM.097	E00100542
mm.aim82NM.099	E00148616
mm.aim82NM.100	E00162018
mm.aim82NM.101	E00067739
mm.aim82NM.102	E00160526
mm.aim82NM.103	E00065272
mm.aim82NM.104	E00116864
mm.aim82NM.105	E00123064
mm.aim82NM.106	E00096128
mm.aim82NM.107	E00106527
mm.aim82NM.108	E00072990
mm.aim82NM.109	E00045857
mm.aim82NM.110	S00127017
mm.aim82NM.111	S00095420
mm.aim82NM.112	E00074607
mm.aim82NM.113	E00154489
mm.aim82NM.114	E00039471
mm.aim82NM.115	E00035353
mm.aim82NM.116	S00126209
mm.aim82NM.117	E00153620
