project_id	mm_size
mm.aim82NM.033	unknown
mm.aim82NM.034	unknown
mm.aim82NM.035	unknown
mm.aim82NM.036	unknown
mm.aim82NM.037	unknown
mm.aim82NM.038	unknown
mm.aim82NM.039	unknown
mm.aim82NM.040	unknown
mm.aim82NM.041	unknown
mm.aim82NM.042	unknown
mm.aim82NM.043	unknown
mm.aim82NM.044	unknown
mm.aim82NM.045	unknown
mm.aim82NM.046	unknown
mm.aim82NM.047	unknown
mm.aim82NM.048	unknown
mm.aim82NM.049	unknown
mm.aim82NM.050	unknown
mm.aim82NM.051	unknown
mm.aim82NM.052	unknown
mm.aim82NM.053	unknown
mm.aim82NM.054	unknown
mm.aim82NM.055	unknown
mm.aim82NM.056	unknown
mm.aim82NM.057	unknown
mm.aim82NM.058	unknown
mm.aim82NM.059	unknown
mm.aim82NM.060	unknown
mm.aim82NM.061	unknown
mm.aim82NM.062	unknown
mm.aim82NM.064	unknown
mm.aim82NM.065	unknown
mm.aim82NM.066	unknown
mm.aim82NM.068	unknown
mm.aim82NM.071	unknown
mm.aim82NM.072	unknown
mm.aim82NM.073	unknown
mm.aim82NM.074	unknown
mm.aim82NM.075	unknown
mm.aim82NM.076	unknown
mm.aim82NM.077	unknown
mm.aim82NM.078	unknown
mm.aim82NM.079	unknown
mm.aim82NM.080	unknown
mm.aim82NM.081	unknown
mm.aim82NM.082	unknown
mm.aim82NM.083	unknown
mm.aim82NM.084	unknown
mm.aim82NM.085	unknown
mm.aim82NM.087	unknown
mm.aim82NM.088	unknown
mm.aim82NM.090	unknown
mm.aim82NM.091	unknown
mm.aim82NM.092	unknown
mm.aim82NM.094	unknown
mm.aim82NM.095	unknown
mm.aim82NM.096	unknown
mm.aim82NM.097	unknown
mm.aim82NM.099	unknown
mm.aim82NM.100	unknown
mm.aim82NM.101	unknown
mm.aim82NM.102	unknown
mm.aim82NM.103	unknown
mm.aim82NM.104	unknown
mm.aim82NM.105	unknown
mm.aim82NM.106	unknown
mm.aim82NM.107	unknown
mm.aim82NM.108	unknown
mm.aim82NM.109	unknown
mm.aim82NM.110	unknown
mm.aim82NM.111	unknown
mm.aim82NM.112	unknown
mm.aim82NM.113	unknown
mm.aim82NM.114	unknown
mm.aim82NM.115	unknown
mm.aim82NM.116	unknown
mm.aim82NM.117	unknown
mm.aim82NM.118	unknown
mm.aim82NM.119	unknown
mm.aim82NM.120	unknown
mm.aim82NM.121	unknown
mm.aim82NM.122	unknown
mm.aim82NM.123	unknown
mm.aim82NM.124	unknown
mm.aim82NM.125	unknown
mm.aim82NM.126	unknown
mm.aim82NM.127	unknown
mm.aim82NM.128	unknown
mm.aim82NM.129	unknown
mm.aim82NM.130	unknown
mm.aim82NM.131	unknown
mm.aim82NM.133	unknown
mm.domus.EM001	large
mm.domus.EM003	small
mm.domus.EM004	very_small
mm.domus.EM005	very_small
mm.domus.EM006	medium
mm.domus.EM007	medium
mm.domus.EM008	medium
mm.domus.EM009	very_small
mm.domus.EM010	very_large
mm.domus.EM011	very_small
mm.domus.EM012	small
mm.domus.EM013	medium
mm.domus.EM014	small
mm.domus.EM015	small
mm.domus.EM016	very_large
mm.domus.EM017	very_large
mm.domus.EM018	large
mm.domus.EM019	large
mm.domus.EM020	medium
mm.domus.EM021	medium
mm.domus.EM022	large
mm.domus.EM023	medium
mm.domus.EM024	very_small
mm.domus.EM025	small
mm.domus.EM026	small
mm.domus.EM027	medium
mm.domus.EM028	large
mm.domus.EM029	small
mm.domus.EM030	medium
mm.domus.EM031	medium
mm.domus.EM032	small
mm.domus.EM033	medium
mm.domus.EM034	large
mm.domus.EM035	medium
mm.domus.EM036	medium
mm.domus.EM037	small
mm.domus.EM039	small
mm.domus.EM040	tiny
mm.domus.EM041	very_small
mm.domus.EM042	medium
mm.domus.EM043	medium
mm.domus.EM044	very_small
mm.domus.EM045	small
mm.domus.EM046	small
mm.domus.EM047	very_small
mm.domus.EM048	large
mm.domus.EM051	small
mm.domus.EM052	very_large
mm.domus.EM053	small
mm.domus.EM054	medium
mm.domus.EM055	large
mm.domus.EM056	small
mm.domus.EM057	very_large
mm.domus.EM058	medium
mm.domus.EM059	small
mm.domus.EM060	tiny
mm.domus.EM061	medium
mm.domus.EM063	medium
mm.domus.EM064	medium
mm.domus.EM065	small
mm.domus.EM066	medium
mm.domus.EM067	very_large
mm.domus.EM068	small
mm.domus.EM069	small
mm.domus.EM070	small
mm.domus.EM071	medium
mm.domus.EM072	medium
mm.domus.EM073	small
mm.domus.EM074	small
mm.domus.EM075	very_large
mm.domus.EM076	very_large
mm.domus.EM077	medium
mm.domus.EM078	medium
mm.domus.EM079	very_small
mm.domus.EM080	very_small
mm.domus.EM081	medium
mm.domus.EM083	small
mm.domus.EM084	large
mm.domus.EM085	small
mm.domus.EM086	very_large
mm.domus.EM087	large
mm.domus.EM088	very_large
mm.domus.EM089	medium
mm.domus.EM090	medium
mm.domus.EM092	small
mm.domus.EM093	very_large
mm.domus.EM094	very_large
mm.domus.EM095	small
mm.domus.EM096	small
