museum_id	country_gss	country_name	region_gss	region_name
mm.domus.NE061	E92000001	England	E12000001	North East
mm.domus.NE067	E92000001	England	E12000001	North East
mm.fcm.098	E92000001	England	E12000006	East of England
mm.domus.NE065	E92000001	England	E12000001	North East
mm.domus.NE064	E92000001	England	E12000001	North East
mm.domus.NE069	E92000001	England	E12000001	North East
mm.domus.NE068	E92000001	England	E12000001	North East
mm.fcm.090	E92000001	England	E12000003	Yorkshire and The Humber
mm.musa.276	W92000004	Wales	W92000004	Wales
mm.New.28	E92000001	England	E12000009	South West
mm.New.118	E92000001	England	E12000007	London
mm.New.119	E92000001	England	E12000008	South East
mm.domus.NW129	E92000001	England	E12000002	North West
mm.aim.1206	E92000001	England	E12000009	South West
mm.domus.YH061	E92000001	England	E12000003	Yorkshire and The Humber
mm.wiki.204	E92000001	England	E12000005	West Midlands
mm.domus.YH060	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.NE035	E92000001	England	E12000001	North East
mm.aim.0900	E92000001	England	E12000002	North West
mm.New.230	S92000003	Scotland	S92000003	Scotland
mm.wiki.203	E92000001	England	E12000005	West Midlands
mm.domus.YH107	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SW205	E92000001	England	E12000008	South East
mm.mgs.006	S92000003	Scotland	S92000003	Scotland
mm.musa.178	E92000001	England	E12000009	South West
mm.misc.243	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.domus.SE558	E92000001	England	E12000008	South East
mm.musa.171	E92000001	England	E12000001	North East
mm.musa.175	S92000003	Scotland	S92000003	Scotland
mm.domus.SW244	E92000001	England	E12000009	South West
mm.domus.SW245	E92000001	England	E12000009	South West
mm.domus.SW246	E92000001	England	E12000009	South West
mm.domus.SW240	E92000001	England	E12000009	South West
mm.domus.SW241	E92000001	England	E12000009	South West
mm.mald.001	W92000004	Wales	W92000004	Wales
mm.domus.SW243	E92000001	England	E12000009	South West
mm.fcm.149	E92000001	England	E12000007	London
mm.fcm.148	E92000001	England	E12000007	London
mm.domus.SW028	E92000001	England	E12000009	South West
mm.domus.SW029	E92000001	England	E12000009	South West
mm.domus.SW024	E92000001	England	E12000009	South West
mm.domus.SW025	E92000001	England	E12000009	South West
mm.domus.SW026	E92000001	England	E12000009	South West
mm.domus.SW027	E92000001	England	E12000009	South West
mm.domus.SW020	E92000001	England	E12000009	South West
mm.domus.SW021	E92000001	England	E12000009	South West
mm.domus.SW022	E92000001	England	E12000009	South West
mm.domus.SW023	E92000001	England	E12000009	South West
mm.wiki.401	E92000001	England	E12000009	South West
mm.domus.NW012	E92000001	England	E12000002	North West
mm.wiki.400	E92000001	England	E12000009	South West
mm.New.24	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.wiki.150	E92000001	England	E12000007	London
mm.wiki.405	E92000001	England	E12000005	West Midlands
mm.aim.1202	E92000001	England	E12000008	South East
mm.wiki.404	E92000001	England	E12000005	West Midlands
mm.domus.NW013	E92000001	England	E12000002	North West
mm.wiki.407	E92000001	England	E12000004	East Midlands
mm.domus.NE081	E92000001	England	E12000001	North East
mm.domus.NE080	E92000001	England	E12000001	North East
mm.domus.NE083	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.NE082	E92000001	England	E12000001	North East
mm.misc.027	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SE557	E92000001	England	E12000008	South East
mm.domus.WA077	W92000004	Wales	W92000004	Wales
mm.aim.0559	E92000001	England	E12000007	London
mm.domus.WA071	W92000004	Wales	W92000004	Wales
mm.domus.WA070	W92000004	Wales	W92000004	Wales
mm.domus.WA073	W92000004	Wales	W92000004	Wales
mm.domus.WA072	W92000004	Wales	W92000004	Wales
mm.aim.0556	W92000004	Wales	W92000004	Wales
mm.domus.WA078	W92000004	Wales	W92000004	Wales
mm.misc.029	E92000001	England	E12000007	London
mm.aim.0555	W92000004	Wales	W92000004	Wales
mm.domus.SE152	E92000001	England	E12000006	East of England
mm.MDN.026	E92000001	England	E12000005	West Midlands
mm.aim.0081	E92000001	England	E12000007	London
mm.domus.NE026	E92000001	England	E12000001	North East
mm.domus.SE150	E92000001	England	E12000008	South East
mm.mgs.375	S92000003	Scotland	S92000003	Scotland
mm.domus.NE024	E92000001	England	E12000001	North East
mm.domus.SE372	E92000001	England	E12000008	South East
mm.mgs.368	S92000003	Scotland	S92000003	Scotland
mm.mgs.374	S92000003	Scotland	S92000003	Scotland
mm.mgs.357	S92000003	Scotland	S92000003	Scotland
mm.mgs.356	S92000003	Scotland	S92000003	Scotland
mm.mgs.354	S92000003	Scotland	S92000003	Scotland
mm.mgs.353	S92000003	Scotland	S92000003	Scotland
mm.mgs.377	S92000003	Scotland	S92000003	Scotland
mm.domus.SE157	E92000001	England	E12000009	South West
mm.domus.SE242	E92000001	England	E12000008	South East
mm.misc.112	S92000003	Scotland	S92000003	Scotland
mm.misc.111	E92000001	England	E12000009	South West
mm.misc.110	E92000001	England	E12000005	West Midlands
mm.misc.117	E92000001	England	E12000006	East of England
mm.misc.116	E92000001	England	E12000006	East of England
mm.aim.0150	E92000001	England	E12000008	South East
mm.misc.114	E92000001	England	E12000006	East of England
mm.hha.140	E92000001	England	E12000002	North West
mm.domus.EM029	E92000001	England	E12000004	East Midlands
mm.misc.119	E92000001	England	E12000006	East of England
mm.misc.118	E92000001	England	E12000006	East of England
mm.hha.144	E92000001	England	E12000002	North West
mm.hha.145	E92000001	England	E12000002	North West
mm.aim.0158	E92000001	England	E12000006	East of England
mm.mgs.370	S92000003	Scotland	S92000003	Scotland
mm.domus.SC161	S92000003	Scotland	S92000003	Scotland
mm.domus.SC160	S92000003	Scotland	S92000003	Scotland
mm.ace.1241	E92000001	England	E12000005	West Midlands
mm.ace.1240	E92000001	England	E12000005	West Midlands
mm.ace.1247	E92000001	England	E12000002	North West
mm.domus.SC164	S92000003	Scotland	S92000003	Scotland
mm.domus.SC167	S92000003	Scotland	S92000003	Scotland
mm.ace.1244	E92000001	England	E12000002	North West
mm.aim.0336	E92000001	England	E12000003	Yorkshire and The Humber
mm.aim.0337	E92000001	England	E12000003	Yorkshire and The Humber
mm.ace.1249	E92000001	England	E12000006	East of England
mm.aim.0335	E92000001	England	E12000008	South East
mm.aim.1209	E92000001	England	E12000006	East of England
mm.aim.0881	E92000001	England	E12000009	South West
mm.aim.0882	E92000001	England	E12000008	South East
mm.domus.NW058	E92000001	England	E12000002	North West
mm.domus.SE220	E92000001	England	E12000008	South East
mm.hha.149	E92000001	England	E12000001	North East
mm.domus.SE311	E92000001	England	E12000006	East of England
mm.wiki.348	E92000001	England	E12000006	East of England
mm.musa.370	E92000001	England	E12000008	South East
mm.wiki.342	E92000001	England	E12000005	West Midlands
mm.wiki.343	E92000001	England	E12000005	West Midlands
mm.wiki.340	E92000001	England	E12000003	Yorkshire and The Humber
mm.wiki.341	E92000001	England	E12000005	West Midlands
mm.domus.NW056	E92000001	England	E12000002	North West
mm.wiki.344	E92000001	England	E12000005	West Midlands
mm.wiki.345	E92000001	England	E12000006	East of England
mm.domus.WM101	E92000001	England	E12000005	West Midlands
mm.domus.WM100	E92000001	England	E12000005	West Midlands
mm.domus.WM103	E92000001	England	E12000005	West Midlands
mm.domus.NW057	E92000001	England	E12000002	North West
mm.aim.1335	E92000001	England	E12000002	North West
mm.aim.0172	E92000001	England	E12000005	West Midlands
mm.domus.WM107	E92000001	England	E12000005	West Midlands
mm.domus.WM106	E92000001	England	E12000005	West Midlands
mm.domus.WM109	E92000001	England	E12000005	West Midlands
mm.aim.1338	E92000001	England	E12000009	South West
mm.domus.SE227	E92000001	England	E12000006	East of England
mm.ace.1181	E92000001	England	E12000005	West Midlands
mm.aim.1119	E92000001	England	E12000008	South East
mm.wiki.294	E92000001	England	E12000006	East of England
mm.domus.SC019	S92000003	Scotland	S92000003	Scotland
mm.domus.SC018	S92000003	Scotland	S92000003	Scotland
mm.domus.SC106	S92000003	Scotland	S92000003	Scotland
mm.aim.1111	E92000001	England	E12000006	East of England
mm.domus.SC014	S92000003	Scotland	S92000003	Scotland
mm.domus.SC017	S92000003	Scotland	S92000003	Scotland
mm.domus.SC016	S92000003	Scotland	S92000003	Scotland
mm.domus.WA101	W92000004	Wales	W92000004	Wales
mm.domus.WA100	W92000004	Wales	W92000004	Wales
