project_id	LSOA_GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
mm.musa.008	S01007247	7	8	7	8	9	5	6	1	scotland
mm.domus.NE002	E01020595	8	8	6	9	5	5	9	8	england
mm.domus.WM033	E01031233	7	6	5	8	6	5	8	6	england
mm.domus.SE416	E01021039	9	8	9	10	9	5	3	10	england
mm.domus.SW198	E01018781	4	6	7	8	7	6	1	1	england
mm.wiki.341	E01029559	4	4	3	2	3	8	8	9	england
mm.mgs.327	S01010688	6	8	8	9	9	8	3	1	scotland
mm.musa.010	E01004761	7	10	10	8	10	5	1	3	england
mm.domus.NE033	E01008599	2	2	1	3	2	5	8	3	england
mm.domus.SC020	S01007185	2	2	2	2	3	2	4	8	scotland
mm.hha.112	E01031050	5	5	6	4	6	4	6	1	england
mm.domus.SC024	S01007085	4	4	5	3	6	1	3	10	scotland
mm.wiki.097	E01033109	1	2	2	3	2	3	1	2	england
mm.hha.016	E01028730	9	10	10	10	10	10	5	2	england
mm.nimc.007	95CC15W1	6	4	7	7	7	10	5	2	northern_ireland
mm.domus.SC069	S01013068	2	2	2	2	2	1	1	8	scotland
mm.hha.131	E01018598	8	10	10	10	9	9	3	1	england
mm.domus.SW231	E01020088	5	6	9	7	8	8	1	1	england
mm.mgs.367	S01013384	4	4	5	3	4	4	6	9	scotland
mm.domus.NI018	95CC22W1	4	2	4	4	5	4	1	9	northern_ireland
mm.domus.NI022	95CC03W1	1	1	2	2	2	1	2	9	northern_ireland
mm.domus.NW073	E01019374	7	8	8	6	6	7	3	10	england
mm.hha.158	S01010931	7	9	8	8	8	4	8	1	scotland
mm.domus.SC030	S01011177	8	7	7	8	5	8	4	7	scotland
mm.musa.012	E01033493	8	10	10	7	6	8	3	2	england
mm.musa.015	95DD10W1	7	8	5	5	5	5	7	5	northern_ireland
mm.wiki.375	E01031392	6	8	9	8	8	6	3	1	england
mm.domus.SE174	E01031392	6	8	9	8	8	6	3	1	england
mm.wiki.393	E01032022	5	7	5	8	4	2	2	9	england
mm.domus.SE515	E01017731	8	6	6	5	7	6	10	10	england
mm.ace.1163	E01030430	10	9	10	10	10	10	8	9	england
mm.misc.058	E01019612	7	8	8	7	8	10	2	3	england
mm.domus.SW157	E01020196	4	3	5	5	4	4	2	9	england
mm.domus.EM004	E01025918	4	3	3	4	4	7	8	7	england
mm.wiki.121	E01022057	8	10	10	9	10	8	4	1	england
mm.domus.SE248	E01024027	4	4	4	5	6	2	2	2	england
mm.domus.SE388	E01028521	7	10	10	9	9	2	1	6	england
mm.hha.074	E01023356	7	10	10	10	10	7	5	1	england
mm.domus.SE173	E01023586	10	9	10	9	10	9	8	10	england
mm.MDN.005	E01007497	2	2	2	2	2	2	5	10	england
mm.aim.0036	E01033619	5	6	9	7	5	6	1	1	england
mm.domus.NW003	E01006022	4	5	5	5	3	1	3	10	england
mm.domus.NW007	E01006250	9	9	7	8	6	10	8	10	england
mm.domus.NW006	E01024934	8	8	6	9	5	4	6	10	england
mm.domus.WM065	E01008901	1	1	1	1	1	3	1	1	england
mm.aim.0038	E01028603	8	10	10	8	10	7	3	3	england
mm.hha.042	E01020540	7	9	9	6	10	9	2	2	england
mm.domus.SW003	E01031949	10	9	10	9	9	7	5	9	england
mm.aim.0040	S01011981	6	8	7	5	9	7	5	1	scotland
mm.wiki.490	S01012012	7	7	8	8	8	9	8	2	scotland
mm.domus.NW014	E01006968	1	1	1	2	1	1	1	7	england
mm.domus.WM140	E01028959	5	7	6	7	7	7	2	1	england
mm.aim.0042	E01031903	10	8	8	8	9	9	10	10	england
mm.domus.SC032	S01007312	6	6	6	8	8	6	7	1	scotland
mm.wiki.093	E01020868	3	3	2	7	2	1	8	4	england
mm.domus.SE478	E01022075	10	10	10	10	10	8	10	9	england
mm.domus.SC071	S01008133	4	4	4	9	2	3	6	10	scotland
mm.domus.SC033	S01012387	7	8	8	8	8	9	7	1	scotland
mm.hha.008	E01023236	6	10	10	10	10	3	3	1	england
mm.aim.0044	E01014865	6	6	6	5	9	8	5	2	england
mm.domus.WM001	E01032166	6	7	6	6	6	8	5	3	england
mm.aim.0046	E01005926	9	10	10	10	8	8	9	3	england
mm.domus.SW094	E01019947	5	5	5	6	5	6	1	9	england
mm.domus.SW173	E01019888	6	5	5	6	6	6	3	8	england
mm.domus.NE003	E01020848	5	4	4	5	2	7	10	6	england
mm.aim.0049	E01026500	9	9	6	7	9	9	10	3	england
mm.domus.EM013	E01026269	8	8	7	4	8	7	7	9	england
mm.musa.022	S01012540	3	3	3	2	2	5	5	9	scotland
