project_id	LSOA2011_GSS
mm.wiki.500	E01023466
mm.wiki.376	E01031709
mm.domus.SE027	E01000895
mm.domus.SE224	E01015590
mm.domus.SE249	E01021880
mm.domus.NW075	E01024904
mm.mgs.285	S01012458
mm.domus.SC055	S01007612
mm.mgs.310	S01007895
mm.mgs.381	S01007984
mm.domus.SC052	S01009460
mm.domus.SC074	S01009937
mm.aim82NM.025	E01014370
mm.aim.0155	E01022773
mm.domus.SE296	E01022658
mm.fcm.242	E01026874
mm.hha.120	E01012992
mm.domus.SW019	E01020282
mm.domus.YH046	E01013030
mm.MDN.030	E01032896
mm.domus.SE228	E01018014
mm.domus.NW020	E01005027
mm.wiki.187	E01005027
mm.domus.SE525	E01028715
mm.domus.SE227	E01023563
mm.ace.1186	E01014035
mm.domus.SC049	S01007346
mm.wiki.192	E01022589
mm.aim82NM.026	E01019722
mm.domus.EM106	E01019717
mm.aim82NM.018	W01000635
mm.wiki.503	E01015239
mm.aim.0158	E01026763
mm.wiki.315	E01028479
mm.ace.1226	E01027775
mm.aim82NM.027	E01025838
mm.hha.034	E01032628
mm.aim.0159	W01000199
mm.hha.029	E01019039
mm.wiki.441	W01000073
mm.domus.WA017	W01000093
mm.wiki.283	E01026593
mm.aim.0160	E01026367
mm.mgs.006	S01010790
mm.aim.0161	S01010799
mm.musa.067	E01017290
mm.domus.YH113	E01010994
mm.domus.WA002	W01001543
mm.domus.EM094	E01019843
mm.domus.SC083	S01009181
mm.aim82NM.028	E01022493
mm.domus.SW185	E01018750
mm.wiki.396	E01031901
mm.musa.069	E01028151
mm.domus.SW191	E01018908
mm.domus.WM121	E01028906
mm.domus.SE225	E01017945
mm.aim.0165	E01000918
mm.domus.SC062	S01007336
mm.aim82NM.029	W01000209
mm.ace.1117	E01027297
mm.mgs.374	S01013441
mm.domus.EM021	E01033400
mm.misc.151	S01010504
mm.domus.YH043	E01007418
mm.aim82NM.030	E01033631
mm.mald.024	W01000051
mm.domus.EM095	E01027028
mm.domus.SE251	E01024124
mm.domus.SE121	E01032807
mm.wiki.122	E01021486
mm.hha.132	E01018597
mm.aim.0167	E01027840
mm.domus.NE013	E01012064
mm.domus.YH047	E01027865
mm.domus.YH104	E01027599
mm.domus.WA026	W01001939
mm.mald.026	W01001941
mm.mald.027	W01000511
mm.wiki.415	95VV08W1
mm.mald.028	W01000557
mm.domus.SE229	E01017294
mm.musa.072	95OO09W1
mm.musa.073	E01019204
mm.musa.074	E01019204
mm.domus.SE520	E01002844
mm.mald.030	W01000641
mm.domus.WA022	W01000624
mm.domus.SC029	S01006907
mm.wiki.239	E01025096
mm.aim.0173	E01032974
mm.nimc.043	95HH09W1
mm.wiki.060	E01019105
mm.musa.075	E01004102
mm.ace.1134	E01000918
mm.domus.YH035	E01010679
mm.hha.084	E01029801
mm.aim.0174	E01010122
mm.musa.076	E01029167
mm.domus.SW108	E01031951
mm.domus.SE437	
mm.ace.1106	E01025925
mm.domus.SC064	S01007536
mm.domus.SW235	E01020319
mm.aim82NM.031	E01014869
mm.hha.121	E01027778
mm.wiki.477	S01010698
mm.aim82NM.032	S01012016
mm.domus.SC066	S01007488
mm.fcm.041	E01021491
mm.domus.NW157	
mm.domus.NI028	95NN22W1
mm.domus.YH120	E01011760
mm.wiki.479	S01010793
mm.domus.EM111	E01019736
mm.MDN.036	E01020569
mm.domus.NW095	E01012441
mm.hha.085	E01019871
mm.aim.0179	E01019401
mm.wiki.411	95UU99C2
mm.aim.1338	E01029061
mm.wiki.275	E01033760
mm.hha.165	S01010552
mm.domus.YH057	E01007418
mm.mald.090	W01001858
mm.domus.WA028	W01000918
mm.mgs.406	S01010054
mm.misc.130	W01000646
mm.domus.SE602	E01000953
mm.aim.0181	E01017997
mm.wiki.344	E01014251
mm.ace.1262	E01026272
mm.domus.SE448	E01023136
mm.hha.035	E01020115
mm.domus.SE577	E01028730
mm.fcm.045	
mm.mald.033	W01000574
mm.misc.098	E01012119
mm.domus.SW020	E01029171
mm.aim82NM.099	E01029175
mm.musa.081	E01028779
mm.ace.1092	E01031218
mm.domus.SE137	E01026478
mm.domus.SE230	E01017038
mm.domus.SE016	E01000920
