project_id	OA2011_GSS
mm.domus.NE068	E00139865
mm.aim.0231	E00137108
mm.hha.162	S00132339
mm.domus.SW179	E00103749
mm.domus.SW029	E00112804
mm.fcm.064	S00095441
mm.aim82NM.038	E00095078
mm.wiki.028	E00095416
mm.wiki.029	E00095793
mm.misc.047	E00096254
mm.domus.SW078	E00095968
mm.hha.188	W00008104
mm.domus.SW028	E00095113
mm.domus.SW104	E00095616
mm.domus.SC081	S00125963
mm.mald.038	W00000305
mm.hha.064	E00162962
mm.aim.0304	W00001029
mm.musa.092	E00094666
mm.domus.SW199	E00094666
mm.domus.SW200	E00094666
mm.musa.093	E00087636
mm.misc.094	E00112702
mm.domus.SW030	E00112901
mm.aim.0234	E00112721
mm.domus.NW048	E00127391
mm.hha.095	E00137431
mm.aim.1025	E00160734
mm.fcm.067	E00136434
mm.aim82NM.023	E00148549
mm.ace.1199	E00112733
mm.wiki.221	E00124778
mm.domus.SE383	E00023930
mm.domus.SC089	S00120401
mm.wiki.374	E00172193
mm.domus.WM088	E00172213
mm.aim.0236	E00172174
mm.aim82M.032	S00132521
mm.domus.WA029	W00005719
mm.domus.SE184	E00087377
mm.domus.SE240	E00084750
mm.musa.095	E00123022
mm.domus.SW032	E00157476
mm.domus.NE074	E00139288
mm.nimc.016	N00002254
mm.domus.SC090	S00110992
mm.musa.096	E00125421
mm.domus.SE252	E00125817
mm.wiki.257	E00133082
mm.domus.SC320	S00130793
mm.domus.SE454	E00161132
mm.wiki.080	E00101573
mm.musa.097	S00097606
mm.mgs.370	S00097605
mm.domus.NW186	
mm.hha.190	W00003008
mm.domus.EM081	E00098613
mm.wiki.022	E00093172
mm.domus.SW033	E00148674
mm.domus.SW034	E00162873
mm.ace.1091	E00070653
mm.wiki.398	E00162399
mm.musa.099	E00003666
mm.domus.SC092	S00118834
mm.domus.SE113	E00135911
mm.aim.0983	E00099267
mm.domus.SE245	E00091562
mm.aim.0244	E00008370
mm.domus.NW052	E00033532
mm.aim.0245	E00156039
mm.domus.SE013	E00005206
mm.domus.SE243	E00003614
mm.domus.SE242	E00161780
mm.fcm.072	E00094123
mm.musa.100	S00117763
mm.domus.SC044	S00109333
mm.fcm.073	E00096556
mm.domus.SC315	S00124769
mm.domus.NW032	E00097702
mm.domus.NW029	E00097071
mm.domus.SE014	E00167985
mm.aim.0249	S00111060
mm.domus.SE221	E00114775
mm.aim82M.068	E00074504
mm.domus.YH054	E00038454
mm.domus.WA031	W00006843
mm.domus.WA030	W00006069
mm.domus.EM025	E00143252
mm.fcm.074	E00134513
mm.domus.SC091	S00097632
mm.hha.136	E00097603
mm.domus.YH049	E00141337
mm.mgs.284	S00122848
mm.musa.101	S00120681
mm.misc.160	S00121767
mm.mgs.373	S00107584
mm.musa.102	N00000429
mm.aim82M.064	W00002651
mm.ace.1193	E00001912
mm.domus.WM129	E00071451
mm.domus.SE260	E00122764
mm.fcm.075	E00165954
mm.domus.SW186	E00102057
mm.aim.0254	E00063780
mm.wiki.207	E00119197
mm.domus.EM026	E00137275
mm.wiki.379	E00056312
mm.domus.SC093	S00132752
mm.wiki.066	E00099238
mm.wiki.030	E00095793
mm.domus.SW035	E00102491
mm.ace.1204	E00119771
mm.aim.0130	E00062813
mm.musa.109	E00122998
mm.domus.SE336	E00122997
mm.domus.SC097	S00099854
mm.domus.SW036	E00113145
mm.domus.SW037	E00113103
mm.hha.096	E00137552
mm.misc.013	E00125211
mm.wiki.458	S00091063
mm.domus.SC275	S00135238
mm.domus.WA015	W00001039
mm.mald.042	W00001038
mm.wiki.067	E00098351
mm.wiki.156	E00021692
mm.domus.SC095	S00096439
mm.domus.SW144	E00073417
mm.domus.EM034	E00171187
mm.fcm.078	E00171215
mm.domus.EM035	E00171187
mm.wiki.423	N00002597
mm.ace.1239	E00137824
mm.domus.SE015	E00014065
mm.mgs.362	S00097184
mm.aim.0358	E00075983
mm.domus.SW038	E00102227
mm.wiki.023	E00092430
mm.wiki.380	E00056099
mm.aim82NM.035	E00056722
mm.wiki.381	E00175513
mm.domus.YH012	E00056124
mm.misc.074	S00101782
mm.domus.SC096	S00100177
mm.musa.112	E00125425
mm.domus.SE259	E00145797
mm.ace.023	E00067494
mm.domus.SE468	E00087432
mm.mald.043	W00003640
mm.aim.1047	E00103056
mm.domus.SC098	S00118769
mm.aim.0262	E00087327
mm.ace.1115	E00087609
mm.fcm.083	E00104065
mm.fcm.082	E00104130
mm.aim82M.011	E00099964
mm.aim.0265	E00135471
mm.ace.327	E00133848
mm.domus.NE028	E00042825
