GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000712	9	9	10	10	10	5	6	4	england
E01000713	9	8	9	10	10	7	7	4	england
E01000714	7	8	9	7	10	3	3	5	england
E01000715	9	9	9	10	9	4	5	5	england
E01000716	9	8	8	10	8	6	7	5	england
E01000717	8	7	9	10	10	7	6	3	england
E01000718	3	3	4	4	7	4	3	1	england
E01000719	3	3	4	4	6	1	4	3	england
E01000720	1	1	2	1	4	1	4	1	england
E01000721	1	1	1	3	2	1	7	2	england
E01000722	4	3	4	3	7	3	5	6	england
E01000723	7	7	6	5	8	5	8	3	england
E01000724	2	2	2	2	4	2	8	1	england
E01000725	3	3	4	4	6	3	4	2	england
E01000726	6	6	6	5	7	3	6	6	england
E01000727	6	5	6	5	7	3	6	5	england
E01000728	4	4	4	3	6	2	7	4	england
E01000729	2	1	2	2	3	1	8	2	england
E01000730	2	1	2	2	4	2	7	1	england
E01000731	4	3	4	3	7	4	7	2	england
E01000732	7	6	5	7	8	6	8	6	england
E01000733	4	3	4	4	7	2	5	6	england
E01000734	7	6	7	6	9	9	7	3	england
E01000735	3	3	3	2	5	3	7	2	england
E01000736	3	3	3	3	6	4	7	2	england
E01000737	3	2	2	3	4	1	7	2	england
E01000738	5	4	5	4	6	2	8	5	england
E01000739	2	1	2	2	3	1	8	2	england
E01000740	3	4	4	6	6	1	2	2	england
E01000741	3	3	3	4	5	1	2	2	england
E01000742	3	3	4	6	6	1	2	3	england
E01000743	2	2	2	3	2	1	4	2	england
E01000744	1	1	1	3	2	2	6	1	england
E01000745	4	4	5	6	6	2	5	2	england
E01000746	4	4	6	7	8	2	3	3	england
E01000747	5	6	7	6	9	4	4	1	england
E01000748	7	8	8	7	9	5	5	1	england
E01000749	8	9	9	8	10	4	7	1	england
E01000750	3	3	2	3	4	7	9	1	england
E01000751	9	8	9	8	8	6	8	5	england
E01000752	8	7	8	8	8	5	7	7	england
E01000753	10	10	10	9	9	9	9	3	england
E01000754	9	8	9	9	10	6	8	2	england
E01000755	10	10	9	10	10	7	9	3	england
E01000756	10	10	10	9	10	7	6	7	england
E01000757	10	10	10	10	10	7	9	3	england
E01000758	10	10	10	10	9	7	7	5	england
E01000759	9	10	9	8	10	4	8	3	england
E01000760	8	8	9	8	9	5	6	2	england
E01000761	9	9	9	8	10	3	8	4	england
E01000762	9	8	8	9	10	8	7	5	england
E01000763	10	10	10	8	10	6	8	6	england
E01000764	7	6	6	7	8	7	7	4	england
E01000765	9	8	8	9	10	5	8	7	england
E01000766	10	10	9	9	10	8	9	9	england
E01000767	10	10	10	9	10	5	9	9	england
E01000768	9	9	9	10	9	6	9	4	england
E01000769	4	6	4	7	6	1	8	3	england
E01000770	9	10	10	10	10	3	5	5	england
E01000771	9	10	10	10	10	3	6	9	england
E01000772	10	9	10	10	10	6	7	7	england
E01000773	9	9	9	8	10	6	6	5	england
E01000774	8	8	7	7	7	4	7	7	england
E01000775	9	9	10	9	10	7	8	3	england
E01000777	8	9	8	8	10	5	6	3	england
E01000778	6	7	6	7	8	4	7	2	england
E01000779	5	5	6	8	8	1	5	6	england
E01000780	4	3	4	4	7	1	6	4	england
E01000781	2	1	2	2	3	1	7	2	england
E01000782	1	1	1	2	3	1	5	2	england
E01000783	2	2	2	2	5	1	7	2	england
E01000784	8	7	8	8	9	4	6	5	england
E01000785	2	2	2	4	5	1	6	4	england
E01000786	7	9	8	9	9	1	9	4	england
E01000787	4	4	4	3	7	2	6	4	england
E01000788	4	4	5	5	8	1	3	3	england
E01000789	2	1	2	2	4	3	7	2	england
E01000790	6	6	7	9	9	3	2	3	england
E01000791	7	7	6	7	9	4	7	5	england
E01000792	4	3	4	5	6	2	9	7	england
E01000793	10	10	10	10	10	6	8	6	england
E01000794	10	10	9	9	10	8	10	6	england
E01000795	6	5	5	7	7	3	9	5	england
E01000796	2	1	2	2	4	2	6	2	england
E01000797	7	8	7	10	8	2	4	5	england
E01000798	1	1	1	3	3	1	2	1	england
E01000799	4	4	4	6	8	2	2	5	england
E01000800	3	3	3	5	6	1	3	3	england
E01000801	4	3	4	4	5	3	3	5	england
E01000802	4	4	5	8	7	2	2	5	england
E01000803	5	4	5	8	7	3	4	4	england
E01000804	9	8	9	10	9	3	6	6	england
E01000805	4	4	4	5	7	1	2	5	england
E01000806	3	2	3	5	5	2	2	2	england
E01000807	9	9	9	9	10	6	5	7	england
E01000808	9	8	8	9	10	8	9	5	england
E01000809	10	10	10	9	10	7	9	7	england
E01000810	10	10	10	10	10	8	9	8	england
E01000811	10	9	10	9	10	7	6	7	england
E01000812	7	6	6	8	9	4	7	5	england
E01000813	10	10	10	8	10	6	8	10	england
E01000814	10	10	10	10	10	6	8	6	england
E01000815	10	10	10	10	10	8	9	8	england
E01000816	6	6	6	5	8	2	7	4	england
E01000818	7	8	7	7	9	2	7	3	england
E01000819	3	2	3	4	3	2	4	3	england
E01000820	5	4	3	9	4	4	6	5	england
E01000822	7	5	6	8	6	6	5	6	england
E01000823	8	8	8	10	9	5	5	6	england
E01000824	5	5	5	9	7	4	3	4	england
E01000825	5	5	4	9	5	8	2	4	england
E01000826	10	10	10	10	10	7	8	5	england
E01000827	9	8	9	10	10	7	8	6	england
E01000828	8	8	7	10	8	5	7	3	england
E01000829	9	8	9	9	10	7	6	5	england
E01000830	10	10	10	10	10	7	8	6	england
